T, HRS, LRS, cba1_sd, cba2_sd, test_acc2
0.15, 10000, 500, 0.11876919823329443, 0.030304576336566323, 0.8446999788284302
0.2, 10000, 500, 0.15835893097772594, 0.04040610178208843, 0.8392000198364258
0.25, 10000, 500, 0.19794866372215741, 0.050507627227610534, 0.8343999981880188
0.3, 10000, 500, 0.23753839646658886, 0.060609152673132646, 0.8264999985694885
0.35, 10000, 500, 0.2771281292110203, 0.07071067811865475, 0.8156999945640564
0.4, 10000, 500, 0.3167178619554519, 0.08081220356417686, 0.8043000102043152
0.45, 10000, 500, 0.3563075946998833, 0.09091372900969898, 0.7943999767303467
0.5, 10000, 500, 0.39589732744431483, 0.10101525445522107, 0.7857000231742859
0.55, 10000, 500, 0.4354870601887463, 0.1111167799007432, 0.777999997138977
0.6, 10000, 500, 0.4750767929331777, 0.12121830534626529, 0.7578999996185303
0.65, 10000, 500, 0.5146665256776092, 0.1313198307917874, 0.7444000244140625
0.7, 10000, 500, 0.5542562584220406, 0.1414213562373095, 0.7257000207901001
0.75, 10000, 500, 0.5938459911664723, 0.15152288168283162, 0.7129999995231628
0.8, 10000, 500, 0.6334357239109037, 0.16162440712835371, 0.6958000063896179
0.85, 10000, 500, 0.6730254566553351, 0.1717259325738758, 0.6848999857902527
0.9, 10000, 500, 0.7126151893997666, 0.18182745801939795, 0.6588000059127808
0.95, 10000, 500, 0.7522049221441981, 0.19192898346492004, 0.6452000141143799
0.0, 11000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 11000, 500, 0.03599066613130135, 0.009183204950474644, 0.8525999784469604
0.1, 11000, 500, 0.0719813322626027, 0.018366409900949288, 0.848800003528595
0.15, 11000, 500, 0.10797199839390402, 0.027549614851423928, 0.8481000065803528
0.2, 11000, 500, 0.1439626645252054, 0.036732819801898575, 0.8452000021934509
0.25, 11000, 500, 0.1799533306565067, 0.04591602475237322, 0.8389999866485596
0.3, 11000, 500, 0.21594399678780804, 0.055099229702847856, 0.8284000158309937
0.35, 11000, 500, 0.2519346629191094, 0.0642824346533225, 0.8233000040054321
0.4, 11000, 500, 0.2879253290504108, 0.07346563960379715, 0.8169000148773193
0.45, 11000, 500, 0.3239159951817121, 0.0826488445542718, 0.8090000152587891
0.5, 11000, 500, 0.3599066613130134, 0.09183204950474644, 0.79830002784729
0.55, 11000, 500, 0.39589732744431483, 0.10101525445522108, 0.7876999974250793
0.6, 11000, 500, 0.4318879935756161, 0.11019845940569571, 0.7739999890327454
0.65, 11000, 500, 0.46787865970691744, 0.11938166435617038, 0.7562999725341797
0.7, 11000, 500, 0.5038693258382188, 0.128564869306645, 0.7458000183105469
0.75, 11000, 500, 0.5398599919695203, 0.13774807425711966, 0.7382000088691711
0.8, 11000, 500, 0.5758506581008216, 0.1469312792075943, 0.71670001745224
0.85, 11000, 500, 0.6118413242321229, 0.15611448415806892, 0.7052000164985657
0.9, 11000, 500, 0.6478319903634242, 0.1652976891085436, 0.6912000179290771
0.95, 11000, 500, 0.6838226564947255, 0.1744808940590182, 0.6643999814987183
0.0, 12000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 12000, 500, 0.032991443953692905, 0.008417937871268422, 0.8519999980926514
0.1, 12000, 500, 0.06598288790738581, 0.016835875742536845, 0.852400004863739
0.15, 12000, 500, 0.0989743318610787, 0.025253813613805267, 0.8475000262260437
0.2, 12000, 500, 0.13196577581477162, 0.03367175148507369, 0.8432999849319458
0.25, 12000, 500, 0.1649572197684645, 0.042089689356342115, 0.8388000130653381
0.3, 12000, 500, 0.1979486637221574, 0.050507627227610534, 0.8335999846458435
0.35, 12000, 500, 0.23094010767585024, 0.05892556509887896, 0.828000009059906
0.4, 12000, 500, 0.26393155162954324, 0.06734350297014738, 0.8245999813079834
0.45, 12000, 500, 0.2969229955832361, 0.07576144084141581, 0.8195000290870667
0.5, 12000, 500, 0.329914439536929, 0.08417937871268423, 0.8062999844551086
0.55, 12000, 500, 0.3629058834906219, 0.09259731658395266, 0.7993999719619751
0.6, 12000, 500, 0.3958973274443148, 0.10101525445522107, 0.7853999733924866
0.65, 12000, 500, 0.4288887713980077, 0.10943319232648951, 0.7781000137329102
0.7, 12000, 500, 0.4618802153517005, 0.11785113019775792, 0.7662000060081482
0.75, 12000, 500, 0.49487165930539356, 0.12626906806902635, 0.7551000118255615
0.8, 12000, 500, 0.5278631032590865, 0.13468700594029476, 0.7422999739646912
0.85, 12000, 500, 0.5608545472127793, 0.1431049438115632, 0.7303000092506409
0.9, 12000, 500, 0.5938459911664722, 0.15152288168283162, 0.7096999883651733
0.95, 12000, 500, 0.6268374351201651, 0.15994081955410003, 0.7038000226020813
0.0, 13000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 13000, 500, 0.0304536405726396, 0.00777040418886316, 0.8522999882698059
0.1, 13000, 500, 0.0609072811452792, 0.01554080837772632, 0.8496000170707703
0.15, 13000, 500, 0.09136092171791879, 0.023311212566589478, 0.8468000292778015
0.2, 13000, 500, 0.1218145622905584, 0.03108161675545264, 0.8458999991416931
0.25, 13000, 500, 0.152268202863198, 0.0388520209443158, 0.8377000093460083
0.3, 13000, 500, 0.18272184343583758, 0.046622425133178956, 0.8400999903678894
0.35, 13000, 500, 0.2131754840084772, 0.05439282932204211, 0.832099974155426
0.4, 13000, 500, 0.2436291245811168, 0.06216323351090528, 0.8287000060081482
0.45, 13000, 500, 0.2740827651537564, 0.06993363769976844, 0.8205000162124634
0.5, 13000, 500, 0.304536405726396, 0.0777040418886316, 0.8112000226974487
0.55, 13000, 500, 0.3349900462990356, 0.08547444607749477, 0.8082000017166138
0.6, 13000, 500, 0.36544368687167517, 0.09324485026635791, 0.7964000105857849
0.65, 13000, 500, 0.3958973274443148, 0.10101525445522108, 0.7840999960899353
0.7, 13000, 500, 0.4263509680169544, 0.10878565864408422, 0.7817999720573425
0.75, 13000, 500, 0.456804608589594, 0.1165560628329474, 0.7666000127792358
0.8, 13000, 500, 0.4872582491622336, 0.12432646702181056, 0.7617999911308289
0.85, 13000, 500, 0.5177118897348733, 0.1320968712106737, 0.7421000003814697
0.9, 13000, 500, 0.5481655303075128, 0.1398672753995369, 0.7336999773979187
0.95, 13000, 500, 0.5786191708801524, 0.14763767958840004, 0.7188000082969666
0.0, 14000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 14000, 500, 0.028278380531736775, 0.007215375318230077, 0.8557000160217285
0.1, 14000, 500, 0.05655676106347355, 0.014430750636460155, 0.8511000275611877
0.15, 14000, 500, 0.0848351415952103, 0.02164612595469023, 0.8490999937057495
0.2, 14000, 500, 0.1131135221269471, 0.02886150127292031, 0.8453999757766724
0.25, 14000, 500, 0.14139190265868387, 0.036076876591150386, 0.8428000211715698
0.3, 14000, 500, 0.1696702831904206, 0.04329225190938046, 0.833899974822998
0.35, 14000, 500, 0.1979486637221574, 0.050507627227610534, 0.8360000252723694
0.4, 14000, 500, 0.2262270442538942, 0.05772300254584062, 0.8303999900817871
0.45, 14000, 500, 0.25450542478563093, 0.06493837786407071, 0.8277999758720398
0.5, 14000, 500, 0.28278380531736774, 0.07215375318230077, 0.8162999749183655
0.55, 14000, 500, 0.31106218584910444, 0.07936912850053086, 0.8109999895095825
0.6, 14000, 500, 0.3393405663808412, 0.08658450381876091, 0.8051000237464905
0.65, 14000, 500, 0.36761894691257796, 0.09379987913699102, 0.7907999753952026
0.7, 14000, 500, 0.3958973274443148, 0.10101525445522107, 0.7840999960899353
0.75, 14000, 500, 0.4241757079760516, 0.10823062977345115, 0.7750999927520752
0.8, 14000, 500, 0.4524540885077884, 0.11544600509168124, 0.7674000263214111
0.85, 14000, 500, 0.4807324690395251, 0.1226613804099113, 0.7595999836921692
0.9, 14000, 500, 0.5090108495712619, 0.12987675572814142, 0.7487000226974487
0.95, 14000, 500, 0.5372892301029987, 0.13709213104637147, 0.7343999743461609
0.0, 15000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 15000, 500, 0.02639315516295432, 0.006734350297014738, 0.852400004863739
0.1, 15000, 500, 0.05278631032590864, 0.013468700594029477, 0.8496999740600586
0.15, 15000, 500, 0.07917946548886294, 0.02020305089104421, 0.8495000004768372
0.2, 15000, 500, 0.10557262065181729, 0.026937401188058954, 0.8493000268936157
0.25, 15000, 500, 0.1319657758147716, 0.03367175148507369, 0.8461999893188477
0.3, 15000, 500, 0.15835893097772588, 0.04040610178208842, 0.8428999781608582
0.35, 15000, 500, 0.18475208614068023, 0.04714045207910317, 0.8363000154495239
0.4, 15000, 500, 0.21114524130363457, 0.05387480237611791, 0.8335000276565552
0.45, 15000, 500, 0.2375383964665889, 0.06060915267313265, 0.8263000249862671
0.5, 15000, 500, 0.2639315516295432, 0.06734350297014738, 0.8248999714851379
0.55, 15000, 500, 0.2903247067924975, 0.07407785326716212, 0.8159999847412109
0.6, 15000, 500, 0.31671786195545176, 0.08081220356417684, 0.8066999912261963
0.65, 15000, 500, 0.34311101711840614, 0.0875465538611916, 0.8032000064849854
0.7, 15000, 500, 0.36950417228136045, 0.09428090415820634, 0.795199990272522
0.75, 15000, 500, 0.39589732744431483, 0.10101525445522107, 0.7870000004768372
0.8, 15000, 500, 0.42229048260726915, 0.10774960475223581, 0.7813000082969666
0.85, 15000, 500, 0.4486836377702234, 0.11448395504925055, 0.7718999981880188
0.9, 15000, 500, 0.4750767929331778, 0.1212183053462653, 0.758400022983551
0.95, 15000, 500, 0.5014699480961321, 0.12795265564328004, 0.7444999814033508
0.0, 16000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 16000, 500, 0.024743582965269677, 0.006313453403451318, 0.8521000146865845
0.1, 16000, 500, 0.049487165930539354, 0.012626906806902635, 0.852400004863739
0.15, 16000, 500, 0.07423074889580902, 0.01894036021035395, 0.8503000140190125
0.2, 16000, 500, 0.09897433186107871, 0.02525381361380527, 0.8496000170707703
0.25, 16000, 500, 0.12371791482634838, 0.03156726701725659, 0.8435999751091003
0.3, 16000, 500, 0.14846149779161805, 0.0378807204207079, 0.8400999903678894
0.35, 16000, 500, 0.1732050807568877, 0.04419417382415922, 0.8389999866485596
0.4, 16000, 500, 0.19794866372215741, 0.05050762722761054, 0.8378000259399414
0.45, 16000, 500, 0.22269224668742707, 0.05682108063106186, 0.8299000263214111
0.5, 16000, 500, 0.24743582965269675, 0.06313453403451318, 0.8285999894142151
0.55, 16000, 500, 0.27217941261796647, 0.0694479874379645, 0.8167999982833862
0.6, 16000, 500, 0.2969229955832361, 0.0757614408414158, 0.8137000203132629
0.65, 16000, 500, 0.3216665785485057, 0.08207489424486714, 0.8129000067710876
0.7, 16000, 500, 0.3464101615137754, 0.08838834764831845, 0.800599992275238
0.75, 16000, 500, 0.37115374447904514, 0.09470180105176976, 0.7908999919891357
0.8, 16000, 500, 0.39589732744431483, 0.10101525445522108, 0.7865999937057495
0.85, 16000, 500, 0.42064091040958446, 0.10732870785867239, 0.774399995803833
0.9, 16000, 500, 0.44538449337485414, 0.11364216126212372, 0.7694000005722046
0.95, 16000, 500, 0.4701280763401238, 0.11995561466557503, 0.7608000040054321
0.0, 17000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 17000, 500, 0.023288078084959692, 0.005942073791483593, 0.8532999753952026
0.1, 17000, 500, 0.046576156169919385, 0.011884147582967186, 0.8521000146865845
0.15, 17000, 500, 0.06986423425487907, 0.017826221374450776, 0.8511999845504761
0.2, 17000, 500, 0.09315231233983877, 0.023768295165934372, 0.8479999899864197
0.25, 17000, 500, 0.11644039042479847, 0.029710368957417965, 0.8454999923706055
0.3, 17000, 500, 0.13972846850975815, 0.03565244274890155, 0.8429999947547913
0.35, 17000, 500, 0.16301654659471784, 0.04159451654038515, 0.8428000211715698
0.4, 17000, 500, 0.18630462467967754, 0.047536590331868744, 0.8392999768257141
0.45, 17000, 500, 0.20959270276463723, 0.053478664123352344, 0.8378999829292297
0.5, 17000, 500, 0.23288078084959693, 0.05942073791483593, 0.8305000066757202
0.55, 17000, 500, 0.25616885893455665, 0.06536281170631952, 0.8220000267028809
